id,material_name,product_family,industry_level_1,category_level_2,application_level_3,application_function_details,has_variants,tds_found,validation_status,audit,recommendation,variant_relationship,related_variants,filename,type,company,brand,dosage,shelf_life,concentration,ingredients,packaging,storage_conditions,allergens,appearance,description
1,GMS (Mono & Diglycerides of Fatty Acids),GMS (Mono & Diglycerides of Fatty Acids),Bakery,Cake & Bakery,Sponge Cake / Muffin,"Promotes rapid batter aeration, fine crumb structure, moisture retention, and anti-staling softness.",No,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Bakery ➔ Cake & Bakery ➔ Sponge Cake / Muffin | [TDS Status]: Fully verified against authentic Technical Data Sheet (GMS60 SPECIFICATION.PDF).,Single Product,None,GMS60 SPECIFICATION.PDF,Emulsifier,AWA Bio,AWA Bio,,24 months,"min. 60% Total Monoglyceride, max. 1% Free Glycerol, max. 3 Acid Value, max. 2 Iodine Value, approx. 62 Melting point","Mono-and diglycerides of fatty acids (E-471), HPS, Glycerin, palm oil",25 Kg net bags,"Cool and dry, Away from sunlight, Recommended storage temperature below 25ºC",None declared,"Flakes or powder, White-ivory","Glycerol Monostearate (GMS) manufactured by Guangdong Cardlo Biotechnology Co.ltd., used in food industry, cosmetic, pharmacy."
2,Cellulose casing - 23E*84,Cellulose Casings,Meat & Poultry,Sausage Casings,Shirred Cellulose Casings,"High mechanical tensile strength for automated stuffing of hot dogs, frankfurters, and smoked sausages, uniform caliber diameter, optimal smoke permeability, and clean peeling.",Yes,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Meat & Poultry ➔ Sausage Casings ➔ Shirred Cellulose Casings | [TDS Status]: Fully verified against authentic Technical Data Sheet (Ingreva Cellulose Casing.pdf).,Concentration / Grade Variant (Same Application),Cellulose casing - 26E*84; Cellulose casing - 21E*84; Cellulose casing - 28E*84; Frankfurte casing 24/84; Smoked casing - 23E*84,Ingreva Cellulose Casing.pdf,Cellulose Casing,AWA Food Additives,Ingreva,,24 months,65-67% regenerated cellulose; 18-20% moisture,"Cellulose, Glycerol, White mineral oil",Cartons with adhesive tape; plastic film wrap; four plastic belts,"Store between 4°C and 25°C, 50-70% RH; Keep away from direct sunlight; Cover unused casing in plastic",None declared (all 14 EU allergens absent),Shirred cellulose casing,"Cellulose Casing manufactured by Ingreva, used in sausage processing casings."
3,NRE 1000,NRE 1000,Meat & Poultry,Processed Meat,Emulsified Sausages,Heat- and light-stable vivid cured pink-to-red hue in frankfurters and sausages.,No,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Meat & Poultry ➔ Processed Meat ➔ Emulsified Sausages | [TDS Status]: Fully verified against authentic Technical Data Sheet (NRE 1000-TDS.pdf).,Single Product,None,NRE 1000-TDS.pdf,Food-Grade Red Color with Erythrosine,AWA Food Additives,AWA Food Solutions,25-30g/100kg,24 months,Moisture (%): ≤ 8.00; As (mg/kg): ≤ 1.00; Pb (mg/kg): ≤ 1.00,E-127,Heavy duty bags or according to the customer’s requirements,"Should be stored away from aromatic products, In dry place away from direct sunlight",,Dark reddish brown powder,"Food-Grade Red Color with Erythrosine, used in meat products."
4,NRE 1500,NRE 1500,Meat & Poultry,Processed Meat,Emulsified Sausages,Heat- and light-stable vivid cured pink-to-red hue in frankfurters and sausages.,No,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Meat & Poultry ➔ Processed Meat ➔ Emulsified Sausages | [TDS Status]: Fully verified against authentic Technical Data Sheet (NRE 1500.pdf).,Single Product,None,NRE 1500.pdf,Red Color,AWA Food Additives,AWA Food Solutions,25-30g/100kg,24 months,moisture: ≤8.00%; color intensity: 0.420: 0.500; arsenic: ≤ 1.00 mg/kg; lead: ≤ 1.00 mg/kg,Erythrosine E127; Caramel color E150c,Paper sacks with polyethylene liner,"Should be stored away from aromatic products, In dry place away from direct sunlight",None declared,Red reddish brown powder,"Red Color, used in meat products."
5,ANTIFOAM COMPOUND,Antifoam Compounds,Beverages,Processing & Bottling,Carbonated Bottling & Juice Degassing,Rapid foam knockdown during carbonated beverage bottling and thermal fruit juice processing.,Yes,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Beverages ➔ Processing & Bottling ➔ Carbonated Bottling & Juice Degassing | [TDS Status]: Fully verified against authentic Technical Data Sheet (Powder Antifoam.pdf).,Application-Specific Variant (Different Applications),Antifoam LPD; Antifoam,Powder Antifoam.pdf,Silicone Antifoam Compound,AWA Food Additives,AWA Food Solutions,0.5 - 2.0%,12 months,Active content: 15%,,50kgs HDPE containers,Keep the original containers closed at a temperature of around 25°C. Seal the containers properly during intervals when not in use.,,White free flowing powder,"Silicone Antifoam Compound manufactured by OTCPL, used in industrial application, e.g. Dry flowable Agrichemicals, wettable Agrochemical powders, cement admixtures, patch and repair in concrete formulations."
6,Revastab - M205,Revastab - M205,Dairy,Cheese & Dairy Systems,Processed Cheese & Dairy Spreads,"Functional dairy texturizer and stabilizer improving dry matter consistency, texture body, and shelf-life stability.",No,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Dairy ➔ Cheese & Dairy Systems ➔ Processed Cheese & Dairy Spreads | [TDS Status]: Fully verified against authentic Technical Data Sheet (Revastab - M205.pdf).,Single Product,None,Revastab - M205.pdf,Refined Carrageenan (E407),AWA Food Additives,Ingreva,0.3% - 0.8%,24 months from the date of production,"Particle Size (120 mesh): ≥90%; Viscosity: ≥5 mPa.s; Water Gel Strength: ≥1600; pH (1.5%, 25°C): 8.0-11.0; Loss on Drying: ≤12.0%; Ash: 15-40%",Carrageenan (E407),"Paper sacks with polyethylene liner, 25 kg",Stored with sealed package in a cool and dry place.,None declared (all 13 listed EU allergens absent),Yellowish to white flowing powder,"Refined Carrageenan (E407), used in meat products."
7,REVATEX -TS4,Textra Modified Starches,"Sauces, Condiments & Dressings",Tomato & Table Sauces,Ketchup & BBQ Sauces,"Delivers freeze-thaw stability, high shear resistance, glossy sheen, and smooth texture.",Yes,Yes,R&D Validated,Approved (TDS Verified),"[Taxonomy Aligned]: Sauces, Condiments & Dressings ➔ Tomato & Table Sauces ➔ Ketchup & BBQ Sauces | [TDS Status]: Fully verified against authentic Technical Data Sheet (REVATEX -TS4.pdf).",Application-Specific Variant (Different Applications),Textra MA243; Textra MS 4060; Textra MS Pro,REVATEX -TS4.pdf,Modified Starch,AWA Food Solutions,Ingreva,,2 years from date of production,moisture: ≤12.0%; whiteness: ≥78.0%; pH: 4.0-9.0; ash: ≤0.5% (dry base); fineness: ≥85.0%; sulfur dioxide: ≤10mg/kg; protein: ≤0.5%; arsenic: ≤1.0mg/kg; lead: ≤0.2mg/kg,Tapioca Hydroxypropyl Distarch Phosphate,"Paper sacks, 25 kg.",Should be stored under cool and dry conditions (protect from humidity).,None declared,"White to slightly yellow, Granular, Flake or powder without visible foreign matter","Modified Starch manufactured by Ingreva, used in sausage/meat processing."
8,TVP Soya Local,Soya Proteins & TVP,Meat & Poultry,Minced Meat & Meat Alternatives,"Burgers, Kofta & Plant-Based Nuggets","Provides meat-like fibrous chewiness, binds fat and water, reduces formulation cost, and builds structure in meat patties and plant-based nuggets.",Yes,Yes,R&D Validated,Approved (TDS Verified),"[Taxonomy Aligned]: Meat & Poultry ➔ Minced Meat & Meat Alternatives ➔ Burgers, Kofta & Plant-Based Nuggets | [TDS Status]: Fully verified against authentic Technical Data Sheet (Soy flour TDS.pdf).",Concentration / Grade Variant (Same Application),Soya Protein Concentrate 70%; Soya Protein Isolate 90%; Soya Protein Isolate 90% (Gelling); Soya Protein Isolate 90% (Injection); TVP Soya Local - S,Soy flour TDS.pdf,Defatted Soya Flour,AWA Food Additives,AWA Food Solutions,,2 years from the date of manufacturing,"protein: 50.0 Min.; moisture: 10.0 Max; fat content: 2.0 Max.; total ash: 8.0 Max.; crude fiber: 5.0 Max; urease activity: 0.20 Max; total bacterial count: 20,000 Max.; coliform: 10 Max.; yeast and moulds: 100 Max.; e coli: Absent; salmonella: Absent",,25 KG,,,Fine powder,Defatted Soya Flour.
9,Microcrystalline Cellulose Gel (Type: H811F),Microcrystalline Cellulose Gel (Type: H811F),"Sauces, Condiments & Dressings",Emulsified Sauces & Dips,Mayonnaise / Salad Dressings,Thixotropic network builder providing fat-like body and suspension stability.,No,Yes,R&D Validated,Approved (TDS Verified),"[Taxonomy Aligned]: Sauces, Condiments & Dressings ➔ Emulsified Sauces & Dips ➔ Mayonnaise / Salad Dressings | [TDS Status]: Fully verified against authentic Technical Data Sheet (specification of MCC gel (811F, HHF).pdf).",Single Product,None,"specification of MCC gel (811F, HHF).pdf",Microcrystalline Cellulose Gel (Type: H811F),AWA Food Additives,"HIGH HOPE FOODS (NANJING) CO.,LTD",,24 months,pH: 6.0-8.0; viscosity: 2000-5500 mPa.s; residue on ignition: 6.0 maximum; loss on drying: 8.0 maximum; total aerobic microbial count: 1000 maximum; total moulds and yeasts count: 100 maximum; salmonella: not detected in 25g,microcrystalline cellulose and carboxymethyl cellulose,"packedin compound paper bag and lined with PE bag inside, net weight 25kgs",At dry and cool place,,"White or pale yellowish powder, Odorless and tasteless","Microcrystalline Cellulose Gel (Type: H811F) manufactured by High Hope Foods (Nanjing) Co.,ltd."
10,Sodium Nitrite-Germany-25kg,Sodium Nitrite Food Grade,Meat & Poultry,Processed Meat,Emulsified Sausages & Restructured Meat,"Optimizes meat protein binding, cured color fixation, texture cross-linking, and shelf-life extension in sausages, luncheon, and beef pastrami.",No,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Meat & Poultry ➔ Processed Meat ➔ Emulsified Sausages & Restructured Meat | [TDS Status]: Fully verified against authentic Technical Data Sheet (TDS.CM-NANI-FG-03SIO2-E.PDF).,Single Product,None,TDS.CM-NANI-FG-03SIO2-E.PDF,Sodium Nitrite Food Grade,AWA Food Additives,AWA Food Solutions,,,NaNO2: 99.0 g/100 g; NaNO3: 0.4 g/100 g; Carbonate: 200 mg/kg; Chloride: 50 mg/kg; Sulphate: 50 mg/kg; H2O (loss on drying): 0.2 g/100 g; insoluble: 0.45 g/100 g; As: 0.2 mg/kg; Al: 2 mg/kg; Ca: 100 mg/kg; Cd: 1 mg/kg; Fe: 5 mg/kg; Hg: 0.05 mg/kg; K: 50 mg/kg; Pb: 1 mg/kg; Se: 5 mg/kg; SiO2 (anticaking agent E 551): 0.4 g/100 g,Sodium Nitrite (E 250) and SiO2 (E 551),,,,White to slightly yellow crystalline product,"Sodium Nitrite Food Grade manufactured by BASF SE, used in meat products."
