material_id,material_name,product_family,tds_found,industry_level_1,category_level_2,application_level_3,is_primary_application,application_function_details,validation_status
1,GMS (Mono & Diglycerides of Fatty Acids),GMS (Mono & Diglycerides of Fatty Acids),Yes,Bakery,Cake & Bakery,Sponge Cake / Muffin,Yes,"Promotes rapid batter aeration, fine crumb structure, moisture retention, and anti-staling softness.",R&D Validated
1,GMS (Mono & Diglycerides of Fatty Acids),GMS (Mono & Diglycerides of Fatty Acids),Yes,Dairy,Butter & Margarine,Table / Industrial Margarine,No,Stabilizes water-in-oil emulsion and controls crystal morphology in shortenings and table spreads.,R&D Validated
1,GMS (Mono & Diglycerides of Fatty Acids),GMS (Mono & Diglycerides of Fatty Acids),Yes,Dairy,Frozen Dairy,Ice Cream & Frozen Desserts,No,"Promotes fat agglomeration, improves extrusion stiffness, and retards ice crystal growth.",R&D Validated
2,Cellulose casing - 23E*84,Cellulose Casings,Yes,Meat & Poultry,Sausage Casings,Shirred Cellulose Casings,Yes,"High mechanical tensile strength for automated stuffing of hot dogs, frankfurters, and smoked sausages, uniform caliber diameter, optimal smoke permeability, and clean peeling.",R&D Validated
3,NRE 1000,NRE 1000,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,Yes,Heat- and light-stable vivid cured pink-to-red hue in frankfurters and sausages.,R&D Validated
3,NRE 1000,NRE 1000,Yes,Dairy,Fermented Dairy,Yogurt,No,Vivid strawberry and cherry coloration in yogurts and dairy desserts.,R&D Validated
4,NRE 1500,NRE 1500,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,Yes,Heat- and light-stable vivid cured pink-to-red hue in frankfurters and sausages.,R&D Validated
4,NRE 1500,NRE 1500,Yes,Dairy,Fermented Dairy,Yogurt,No,Vivid strawberry and cherry coloration in yogurts and dairy desserts.,R&D Validated
5,ANTIFOAM COMPOUND,Antifoam Compounds,Yes,Beverages,Processing & Bottling,Carbonated Bottling & Juice Degassing,Yes,Rapid foam knockdown during carbonated beverage bottling and thermal fruit juice processing.,R&D Validated
5,ANTIFOAM COMPOUND,Antifoam Compounds,Yes,Dairy,Reconstitution & Milk Processing,Reconstituted Milk & Whey Processing,No,Suppresses foam formation during high-shear milk powder reconstitution and whey separation.,R&D Validated
5,ANTIFOAM COMPOUND,Antifoam Compounds,Yes,"Sauces, Condiments & Dressings",Sauces & Starch Cooking,Ketchup & Starch Washing,No,"Bubble suppression during sauce cooking, starch gelatinization, and potato washing.",R&D Validated
6,Revastab - M205,Revastab - M205,Yes,Dairy,Cheese & Dairy Systems,Processed Cheese & Dairy Spreads,Yes,"Functional dairy texturizer and stabilizer improving dry matter consistency, texture body, and shelf-life stability.",R&D Validated
6,Revastab - M205,Revastab - M205,Yes,Bakery,Cake & Bakery,Sponge Cake & Pastry Fillings,No,Texture enhancement and moisture stabilization.,R&D Validated
7,REVATEX -TS4,Textra Modified Starches,Yes,"Sauces, Condiments & Dressings",Tomato & Table Sauces,Ketchup & BBQ Sauces,Yes,"Delivers freeze-thaw stability, high shear resistance, glossy sheen, and smooth texture.",R&D Validated
7,REVATEX -TS4,Textra Modified Starches,Yes,Dairy,Fermented Dairy,Yogurt,No,Provides spoonable thickness and creaminess without syneresis.,R&D Validated
7,REVATEX -TS4,Textra Modified Starches,Yes,Bakery,Pastry Fillings,Bake-Stable Jams & Pie Fillings,No,Bake-stable body builder in fruit custards and fillings.,R&D Validated
8,TVP Soya Local,Soya Proteins & TVP,Yes,Meat & Poultry,Minced Meat & Meat Alternatives,"Burgers, Kofta & Plant-Based Nuggets",Yes,"Provides meat-like fibrous chewiness, binds fat and water, reduces formulation cost, and builds structure in meat patties and plant-based nuggets.",R&D Validated
8,TVP Soya Local,Soya Proteins & TVP,Yes,Bakery,Bread & Nutrition,High-Protein Bread & Energy Bars,No,"Enhances dough water absorption, strengthens gluten matrix, and boosts nutritional protein content.",R&D Validated
9,Microcrystalline Cellulose Gel (Type: H811F),Microcrystalline Cellulose Gel (Type: H811F),Yes,"Sauces, Condiments & Dressings",Emulsified Sauces & Dips,Mayonnaise / Salad Dressings,Yes,Thixotropic network builder providing fat-like body and suspension stability.,R&D Validated
9,Microcrystalline Cellulose Gel (Type: H811F),Microcrystalline Cellulose Gel (Type: H811F),Yes,Dairy,Frozen Dairy,Ice Cream & Frozen Desserts,No,Controls ice crystal growth and heat-shock stability.,R&D Validated
10,Sodium Nitrite-Germany-25kg,Sodium Nitrite Food Grade,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages & Restructured Meat,Yes,"Optimizes meat protein binding, cured color fixation, texture cross-linking, and shelf-life extension in sausages, luncheon, and beef pastrami.",R&D Validated
11,"Paprika Oleoresin 20,000 CU",Paprika Oleoresin,Yes,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Standardized carotenoid color (ASTA / Color Units) combined with authentic sweet paprika aroma.,R&D Validated
11,"Paprika Oleoresin 20,000 CU",Paprika Oleoresin,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,No,Natural red-orange color standardization and mild warm spice notes in sausages.,R&D Validated
11,"Paprika Oleoresin 20,000 CU",Paprika Oleoresin,Yes,"Sauces, Condiments & Dressings",Tomato & Table Sauces,Ketchup & BBQ Sauces,No,Enhances tomato hue and warm spice background in sauces.,R&D Validated
12,Technical Data Sheet of Natural red color,Technical Data Sheet of Natural red color,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,Yes,Heat- and light-stable vivid cured pink-to-red hue in frankfurters and sausages.,R&D Validated
12,Technical Data Sheet of Natural red color,Technical Data Sheet of Natural red color,Yes,Dairy,Fermented Dairy,Yogurt,No,Vivid strawberry and cherry coloration in yogurts and dairy desserts.,R&D Validated
13,Tex Mono 160,Tex Emulsifiers (Mono & Diglycerides),Yes,Bakery,Cake & Bakery,Sponge Cake / Muffin,Yes,"Promotes rapid batter aeration, fine crumb structure, moisture retention, and anti-staling softness.",R&D Validated
13,Tex Mono 160,Tex Emulsifiers (Mono & Diglycerides),Yes,Dairy,Butter & Margarine,Table / Industrial Margarine,No,Stabilizes water-in-oil emulsion and controls crystal morphology in shortenings and table spreads.,R&D Validated
13,Tex Mono 160,Tex Emulsifiers (Mono & Diglycerides),Yes,Dairy,Frozen Dairy,Ice Cream & Frozen Desserts,No,"Promotes fat agglomeration, improves extrusion stiffness, and retards ice crystal growth.",R&D Validated
14,Textra Bake C 10,Textra Bakery & Leavening Systems,Yes,Bakery,Pastry,Croissant / Laminated Pastry,Yes,"Strengthens gluten matrix, improves dough extensibility, and provides flaky crumb lamination.",R&D Validated
14,Textra Bake C 10,Textra Bakery & Leavening Systems,Yes,Bakery,Bread,Sliced Bread / Buns / Rolls,No,Improves gas retention and bread oven spring.,R&D Validated
15,Textra Baking 100,Textra Bakery & Leavening Systems,Yes,Bakery,Cake & Bakery,Sponge Cake / Muffin,Yes,Engineered double-acting chemical leavening blend ensuring controlled CO2 release for maximum batter volume.,R&D Validated
